stamp,x,y,qx,qy,qz,qw
3373.643000,13.862123,2.967986,0.000000,0.000000,-0.026421,0.999651
3373.844000,13.822891,2.974401,0.000000,0.000000,-0.075422,0.997152
3374.112000,13.766241,2.985338,0.000000,0.000000,-0.131026,0.991379
3374.447000,13.705496,3.005281,0.000000,0.000000,-0.185484,0.982647
3374.648000,13.666624,3.022216,0.000000,0.000000,-0.239873,0.970804
3374.849000,13.662854,3.020600,0.000000,0.000000,-0.315158,0.949039
3374.983000,13.677214,3.006538,0.000000,0.000000,-0.373962,0.927444
3375.120000,13.685789,2.986681,0.000000,0.000000,-0.432833,0.901474
3375.252000,13.699934,2.967714,0.000000,0.000000,-0.485119,0.874448
3375.390000,13.710365,2.944068,0.000000,0.000000,-0.540269,0.841492
3375.525000,13.720274,2.923715,0.000000,0.000000,-0.591416,0.806367
3375.659000,13.723819,2.899805,0.000000,0.000000,-0.640984,0.767555
3375.793000,13.723226,2.876074,0.000000,0.000000,-0.688312,0.725415
3375.927000,13.725797,2.842645,0.000000,0.000000,-0.737374,0.675484
3376.062000,13.719431,2.798283,0.000000,0.000000,-0.780361,0.625329
3376.195000,13.709784,2.752126,0.000000,0.000000,-0.816861,0.576834
3376.329000,13.685660,2.703564,0.000000,0.000000,-0.851425,0.524477
3376.463000,13.650755,2.641921,0.000000,0.000000,-0.880361,0.474305
3376.597000,13.605221,2.580050,0.000000,0.000000,-0.904932,0.425556
3376.732000,13.556833,2.530526,0.000000,0.000000,-0.926423,0.376484
3376.933000,13.472769,2.457698,0.000000,0.000000,-0.950915,0.309453
3377.134000,13.380398,2.396903,0.000000,0.000000,-0.966168,0.257914
3377.350000,13.278055,2.347315,0.000000,0.000000,-0.977755,0.209751
3377.551000,13.181017,2.306623,0.000000,0.000000,-0.985594,0.169130
3377.755000,13.078107,2.275397,0.000000,0.000000,-0.991095,0.133157
3377.953000,12.977244,2.249347,0.000000,0.000000,-0.994392,0.105757
3378.154000,12.875181,2.228022,0.000000,0.000000,-0.996286,0.086109
3378.362000,12.767324,2.211353,0.000000,0.000000,-0.997233,0.074333
3378.561000,12.667302,2.200606,0.000000,0.000000,-0.997917,0.064512
3378.762000,12.560811,2.188388,0.000000,0.000000,-0.997956,0.063912
3378.964000,12.453334,2.171735,0.000000,0.000000,-0.997780,0.066589
3379.165000,12.346117,2.158171,0.000000,0.000000,-0.997887,0.064980
3379.365000,12.243413,2.142863,0.000000,0.000000,-0.997729,0.067362
3379.567000,12.132431,2.124981,0.000000,0.000000,-0.997543,0.070064
3379.768000,12.019755,2.108670,0.000000,0.000000,-0.997283,0.073669
3379.969000,11.911648,2.093914,0.000000,0.000000,-0.996740,0.080675
3380.169000,11.807882,2.075612,0.000000,0.000000,-0.995933,0.090092
3380.371000,11.700794,2.054848,0.000000,0.000000,-0.995616,0.093534
3380.576000,11.591049,2.033857,0.000000,0.000000,-0.995860,0.090897
3380.776000,11.479673,2.014645,0.000000,0.000000,-0.995492,0.094848
3380.977000,11.367801,1.991981,0.000000,0.000000,-0.995481,0.094965
3381.179000,11.256952,1.967699,0.000000,0.000000,-0.996106,0.088164
3381.379000,11.144007,1.951322,0.000000,0.000000,-0.996428,0.084447
3381.581000,11.039304,1.938142,0.000000,0.000000,-0.996923,0.078381
